holding_id,party_id,product_code,product_type,start_date,end_date,status
HLD-0000001,PTY-00000073,LOAN-PERSONAL,LOAN,2020-09-15,,ACTIVE
HLD-0000002,PTY-00000099,MORT-VAR-20Y,LOAN,2023-11-04,2026-06-26,MATURED
HLD-0000003,PTY-00000095,INS-HOME,INSURANCE,2026-02-25,,ACTIVE
HLD-0000004,PTY-00000032,MORT-FIX-25Y,LOAN,2017-11-02,,ACTIVE
HLD-0000005,PTY-00000020,LOAN-PERSONAL,LOAN,2025-08-20,2026-07-05,CANCELLED
HLD-0000006,PTY-00000092,DEP-SAVINGS,DEPOSIT,2020-11-10,,ACTIVE
HLD-0000007,PTY-00000054,CARD-PLATINUM,CARD,2024-09-05,,ACTIVE
HLD-0000008,PTY-00000074,CARD-PLATINUM,CARD,2025-03-31,,ACTIVE
HLD-0000009,PTY-00000023,CARD-GOLD,CARD,2025-05-25,2026-07-05,MATURED
HLD-0000010,PTY-00000009,DEP-TERM-12M,DEPOSIT,2019-06-17,2023-03-18,MATURED
HLD-0000011,PTY-00000012,INS-HOME,INSURANCE,2018-02-25,,ACTIVE
HLD-0000012,PTY-00000026,CARD-CLASSIC,CARD,2019-08-12,,ACTIVE
HLD-0000013,PTY-00000095,INS-LIFE,INSURANCE,2018-03-03,,ACTIVE
HLD-0000014,PTY-00000076,DEP-TERM-12M,DEPOSIT,2022-01-17,2026-07-05,CANCELLED
HLD-0000015,PTY-00000070,CARD-GOLD,CARD,2017-03-25,,ACTIVE
HLD-0000016,PTY-00000004,CARD-GOLD,CARD,2012-03-01,,ACTIVE
HLD-0000017,PTY-00000089,MORT-FIX-25Y,LOAN,2026-05-25,2026-07-05,CANCELLED
HLD-0000018,PTY-00000085,DEP-SAVINGS,DEPOSIT,2019-07-13,2020-10-10,MATURED
HLD-0000019,PTY-00000027,INS-HOME,INSURANCE,2017-01-04,2022-08-11,CANCELLED
HLD-0000020,PTY-00000008,LOAN-PERSONAL,LOAN,2024-05-04,,ACTIVE
HLD-0000021,PTY-00000006,CARD-GOLD,CARD,2014-10-09,2019-06-26,MATURED
HLD-0000022,PTY-00000090,CARD-PLATINUM,CARD,2024-07-10,,ACTIVE
HLD-0000023,PTY-00000075,MORT-VAR-20Y,LOAN,2012-02-19,,ACTIVE
HLD-0000024,PTY-00000051,MORT-VAR-20Y,LOAN,2025-01-11,,ACTIVE
HLD-0000025,PTY-00000056,LOAN-PERSONAL,LOAN,2020-07-28,,ACTIVE
HLD-0000026,PTY-00000041,DEP-SAVINGS,DEPOSIT,2019-02-10,,ACTIVE
HLD-0000027,PTY-00000041,DEP-TERM-12M,DEPOSIT,2024-10-02,,ACTIVE
HLD-0000028,PTY-00000026,LOAN-PERSONAL,LOAN,2013-04-25,2014-08-14,MATURED
HLD-0000029,PTY-00000020,MORT-VAR-20Y,LOAN,2015-12-23,,ACTIVE
HLD-0000030,PTY-00000041,DEP-SAVINGS,DEPOSIT,2018-05-23,,ACTIVE
HLD-0000031,PTY-00000099,CARD-GOLD,CARD,2016-01-14,,ACTIVE
HLD-0000032,PTY-00000034,MORT-VAR-20Y,LOAN,2019-08-09,,ACTIVE
HLD-0000033,PTY-00000091,INS-LIFE,INSURANCE,2019-01-28,,ACTIVE
HLD-0000034,PTY-00000019,MORT-VAR-20Y,LOAN,2018-06-13,,ACTIVE
HLD-0000035,PTY-00000051,INS-HOME,INSURANCE,2019-09-22,,ACTIVE
HLD-0000036,PTY-00000034,LOAN-PERSONAL,LOAN,2017-05-11,,ACTIVE
HLD-0000037,PTY-00000058,INS-HOME,INSURANCE,2020-10-28,,ACTIVE
HLD-0000038,PTY-00000013,DEP-TERM-12M,DEPOSIT,2023-04-17,,ACTIVE
HLD-0000039,PTY-00000016,MORT-FIX-25Y,LOAN,2021-06-11,,ACTIVE
HLD-0000040,PTY-00000017,CARD-GOLD,CARD,2018-01-29,2025-11-09,MATURED
HLD-0000041,PTY-00000081,MORT-VAR-20Y,LOAN,2020-08-15,,ACTIVE
HLD-0000042,PTY-00000010,MORT-FIX-25Y,LOAN,2021-12-29,2026-07-05,CANCELLED
HLD-0000043,PTY-00000057,LOAN-PERSONAL,LOAN,2018-12-28,,ACTIVE
HLD-0000044,PTY-00000016,MORT-FIX-25Y,LOAN,2025-04-17,2026-07-05,CANCELLED
HLD-0000045,PTY-00000074,DEP-SAVINGS,DEPOSIT,2017-07-27,2023-03-20,MATURED
HLD-0000046,PTY-00000004,DEP-SAVINGS,DEPOSIT,2022-07-21,,ACTIVE
HLD-0000047,PTY-00000046,CARD-GOLD,CARD,2020-04-05,2023-06-25,CANCELLED
HLD-0000048,PTY-00000058,LOAN-PERSONAL,LOAN,2012-07-16,,ACTIVE
HLD-0000049,PTY-00000079,CARD-GOLD,CARD,2015-03-29,,ACTIVE
HLD-0000050,PTY-00000053,INS-HOME,INSURANCE,2024-06-17,,ACTIVE
HLD-0000051,PTY-00000036,DEP-SAVINGS,DEPOSIT,2021-12-15,,ACTIVE
HLD-0000052,PTY-00000083,INS-HOME,INSURANCE,2014-03-27,,ACTIVE
HLD-0000053,PTY-00000003,DEP-SAVINGS,DEPOSIT,2018-05-17,2023-11-01,MATURED
HLD-0000054,PTY-00000070,DEP-TERM-12M,DEPOSIT,2013-09-28,,ACTIVE
HLD-0000055,PTY-00000065,CARD-PLATINUM,CARD,2022-05-24,,ACTIVE
HLD-0000056,PTY-00000004,CARD-PLATINUM,CARD,2025-10-08,,ACTIVE
HLD-0000057,PTY-00000100,CARD-CLASSIC,CARD,2015-11-06,,ACTIVE
HLD-0000058,PTY-00000068,CARD-PLATINUM,CARD,2021-03-17,2023-01-29,MATURED
HLD-0000059,PTY-00000013,CARD-GOLD,CARD,2020-06-13,,ACTIVE
HLD-0000060,PTY-00000069,MORT-FIX-25Y,LOAN,2021-07-04,2026-07-05,MATURED
HLD-0000061,PTY-00000050,CARD-PLATINUM,CARD,2022-07-13,2024-08-02,CANCELLED
HLD-0000062,PTY-00000031,INS-LIFE,INSURANCE,2018-05-19,,ACTIVE
HLD-0000063,PTY-00000076,MORT-FIX-25Y,LOAN,2018-07-17,,ACTIVE
HLD-0000064,PTY-00000073,INS-LIFE,INSURANCE,2022-03-16,,ACTIVE
HLD-0000065,PTY-00000064,INS-HOME,INSURANCE,2015-06-06,,ACTIVE
HLD-0000066,PTY-00000005,MORT-VAR-20Y,LOAN,2012-12-07,,ACTIVE
HLD-0000067,PTY-00000029,MORT-FIX-25Y,LOAN,2026-05-31,,ACTIVE
HLD-0000068,PTY-00000043,INS-LIFE,INSURANCE,2023-07-03,,ACTIVE
HLD-0000069,PTY-00000044,LOAN-PERSONAL,LOAN,2019-03-04,2019-12-02,CANCELLED
HLD-0000070,PTY-00000003,LOAN-PERSONAL,LOAN,2023-04-02,,ACTIVE
HLD-0000071,PTY-00000100,MORT-VAR-20Y,LOAN,2018-03-30,2019-02-20,MATURED
HLD-0000072,PTY-00000048,DEP-SAVINGS,DEPOSIT,2018-11-17,,ACTIVE
HLD-0000073,PTY-00000039,CARD-PLATINUM,CARD,2022-11-23,,ACTIVE
HLD-0000074,PTY-00000094,DEP-SAVINGS,DEPOSIT,2015-07-02,2022-11-11,MATURED
