ticket_id,party_id,channel,category,severity,status,opened_ts,resolved_ts,csat_score
TCK-0000001,PTY-00000075,EMAIL,SERVICE_REQUEST,LOW,RESOLVED,2025-10-17T14:51:00,2025-10-18T14:51:00,4
TCK-0000002,PTY-00000060,PHONE,SERVICE_REQUEST,LOW,CLOSED,2026-01-29T23:01:00,2026-02-05T23:01:00,4
TCK-0000003,PTY-00000055,EMAIL,SERVICE_REQUEST,LOW,RESOLVED,2026-06-03T17:03:00,2026-06-05T17:03:00,5
TCK-0000004,PTY-00000018,BRANCH,SERVICE_REQUEST,LOW,CLOSED,2025-08-09T13:23:00,2025-08-16T13:23:00,4
TCK-0000005,PTY-00000085,EMAIL,SERVICE_REQUEST,MEDIUM,IN_PROGRESS,2026-04-28T20:55:00,,
TCK-0000006,PTY-00000068,EMAIL,COMPLAINT,MEDIUM,RESOLVED,2026-03-13T00:48:00,2026-03-14T00:48:00,5
TCK-0000007,PTY-00000049,PHONE,SERVICE_REQUEST,HIGH,IN_PROGRESS,2026-03-01T14:22:00,,
TCK-0000008,PTY-00000098,CHAT,SERVICE_REQUEST,LOW,RESOLVED,2025-08-01T13:39:00,2025-08-14T13:39:00,5
TCK-0000009,PTY-00000077,CHAT,SERVICE_REQUEST,LOW,RESOLVED,2025-09-02T21:45:00,2025-09-16T21:45:00,1
TCK-0000010,PTY-00000028,BRANCH,SERVICE_REQUEST,MEDIUM,CLOSED,2026-06-07T04:32:00,2026-06-12T04:32:00,3
TCK-0000011,PTY-00000099,EMAIL,SERVICE_REQUEST,LOW,CLOSED,2026-01-22T07:19:00,2026-01-25T07:19:00,5
TCK-0000012,PTY-00000072,EMAIL,SERVICE_REQUEST,CRITICAL,OPEN,2026-04-07T20:43:00,,
TCK-0000013,PTY-00000083,PHONE,SERVICE_REQUEST,MEDIUM,CLOSED,2025-10-10T10:44:00,2025-10-17T10:44:00,4
TCK-0000014,PTY-00000031,CHAT,FRAUD_DISPUTE,MEDIUM,IN_PROGRESS,2026-02-02T22:09:00,,
TCK-0000015,PTY-00000054,CHAT,FRAUD_DISPUTE,HIGH,CLOSED,2026-04-28T12:15:00,2026-05-03T12:15:00,3
TCK-0000016,PTY-00000012,CHAT,COMPLAINT,LOW,CLOSED,2026-03-30T01:17:00,2026-04-06T01:17:00,5
TCK-0000017,PTY-00000098,BRANCH,SERVICE_REQUEST,HIGH,CLOSED,2025-07-27T17:13:00,2025-08-04T17:13:00,3
TCK-0000018,PTY-00000028,EMAIL,SERVICE_REQUEST,MEDIUM,OPEN,2026-05-06T23:48:00,,
TCK-0000019,PTY-00000027,EMAIL,COMPLAINT,LOW,RESOLVED,2026-03-05T17:20:00,2026-03-18T17:20:00,4
TCK-0000020,PTY-00000047,EMAIL,COMPLAINT,HIGH,CLOSED,2025-10-24T14:06:00,2025-11-06T14:06:00,5
TCK-0000021,PTY-00000048,PHONE,SERVICE_REQUEST,MEDIUM,RESOLVED,2026-06-12T18:55:00,2026-06-16T18:55:00,5
TCK-0000022,PTY-00000093,CHAT,SERVICE_REQUEST,MEDIUM,RESOLVED,2026-04-18T06:21:00,2026-04-22T06:21:00,4
TCK-0000023,PTY-00000088,PHONE,COMPLAINT,LOW,RESOLVED,2025-10-28T23:41:00,2025-11-09T23:41:00,4
TCK-0000024,PTY-00000093,CHAT,SERVICE_REQUEST,HIGH,CLOSED,2026-04-02T17:41:00,2026-04-03T17:41:00,4
TCK-0000025,PTY-00000007,CHAT,SERVICE_REQUEST,MEDIUM,CLOSED,2025-12-06T04:53:00,2025-12-17T04:53:00,3
TCK-0000026,PTY-00000048,CHAT,SERVICE_REQUEST,MEDIUM,RESOLVED,2025-08-13T21:59:00,2025-08-23T21:59:00,5
TCK-0000027,PTY-00000053,PHONE,COMPLAINT,MEDIUM,RESOLVED,2025-10-07T23:17:00,2025-10-16T23:17:00,5
TCK-0000028,PTY-00000023,EMAIL,COMPLAINT,LOW,RESOLVED,2026-05-17T16:09:00,2026-05-21T16:09:00,3
TCK-0000029,PTY-00000051,PHONE,COMPLAINT,HIGH,RESOLVED,2025-12-10T14:36:00,2025-12-14T14:36:00,5
TCK-0000030,PTY-00000084,EMAIL,SERVICE_REQUEST,MEDIUM,OPEN,2025-08-07T01:05:00,,
TCK-0000031,PTY-00000082,CHAT,SERVICE_REQUEST,HIGH,RESOLVED,2026-04-09T02:31:00,2026-04-23T02:31:00,4
TCK-0000032,PTY-00000013,BRANCH,COMPLAINT,MEDIUM,IN_PROGRESS,2026-06-14T07:13:00,,
