transaction_id,account_id,txn_type,amount,currency,channel,merchant_category,txn_timestamp
TXN-0000000001,ACC-000000025,DEBIT,1968.96,EUR,ATM,,2026-03-09T09:49:00
TXN-0000000002,ACC-000000049,DEBIT,328.31,EUR,ONLINE,5812,2026-02-01T04:55:00
TXN-0000000003,ACC-000000033,DEBIT,745.57,EUR,ONLINE,5411,2026-02-23T03:18:00
TXN-0000000004,ACC-000000011,CREDIT,4531.27,EUR,MOBILE,,2026-05-29T13:05:00
TXN-0000000005,ACC-000000029,CREDIT,4655.84,EUR,ATM,,2026-03-21T01:25:00
TXN-0000000006,ACC-000000065,DEBIT,167.8,EUR,MOBILE,,2026-05-09T00:20:00
TXN-0000000007,ACC-000000013,CREDIT,3967.33,EUR,ONLINE,5812,2026-06-26T09:58:00
TXN-0000000008,ACC-000000061,DEBIT,1412.54,EUR,MOBILE,,2026-03-13T19:00:00
TXN-0000000009,ACC-000000011,DEBIT,303.29,EUR,MOBILE,,2026-01-31T16:27:00
TXN-0000000010,ACC-000000015,CREDIT,653.15,EUR,MOBILE,,2026-05-05T13:40:00
TXN-0000000011,ACC-000000080,DEBIT,1810.77,USD,MOBILE,,2026-02-03T17:01:00
TXN-0000000012,ACC-000000081,DEBIT,291.44,EUR,MOBILE,,2026-03-18T00:39:00
TXN-0000000013,ACC-000000046,DEBIT,1330.42,EUR,ONLINE,5411,2026-02-21T11:04:00
TXN-0000000014,ACC-000000068,DEBIT,1017.71,EUR,BRANCH,,2026-06-30T12:55:00
TXN-0000000015,ACC-000000061,DEBIT,749.74,EUR,MOBILE,,2026-07-01T11:50:00
TXN-0000000016,ACC-000000009,DEBIT,1258.37,EUR,BRANCH,,2026-02-07T23:48:00
TXN-0000000017,ACC-000000043,DEBIT,680.4,EUR,MOBILE,,2026-01-22T05:53:00
TXN-0000000018,ACC-000000100,DEBIT,959.67,EUR,POS,5812,2026-06-01T02:45:00
TXN-0000000019,ACC-000000100,CREDIT,1047.88,EUR,MOBILE,,2026-05-15T01:20:00
TXN-0000000020,ACC-000000040,DEBIT,1088.35,EUR,POS,5541,2026-06-26T20:12:00
TXN-0000000021,ACC-000000037,DEBIT,1732.27,EUR,BRANCH,,2026-04-12T08:07:00
TXN-0000000022,ACC-000000048,DEBIT,882.27,EUR,ONLINE,5732,2026-04-10T05:31:00
TXN-0000000023,ACC-000000089,DEBIT,1040.96,EUR,ATM,,2026-06-14T23:27:00
TXN-0000000024,ACC-000000011,DEBIT,365.01,EUR,POS,5541,2026-04-14T03:05:00
TXN-0000000025,ACC-000000042,DEBIT,1207.23,EUR,MOBILE,,2026-03-18T05:44:00
